2018-11-19 12:20:58.2935 DEBUG                   21|   AnonymousSafeObserver`1 |               OnNext | No trace listeners. 
2018-11-19 12:27:38.4398 INFO                    21|          CacheInterceptor | moveEntriesOlderThan | Starting cleaning cache 
2018-11-19 12:27:38.4398 INFO                    21|          CacheInterceptor | moveEntriesOlderThan | Cache cleaned 
2018-11-19 14:22:55.4027 DEBUG                   21|              DS9BoxBase`1 |       TestConnection | Sending: 'PING.v1' 
2018-11-19 14:24:29.5305 DEBUG                   21|       BaseTerminalManager |    StartInstallation | [172.16.1.139][1] Starting installation, steps: [TerminalSettingsCheckStep,IsOnlineInstallationStep,CheckRequiredHostedSitesStep,ConfigurationStep,CheckLoginStep,StoreFunctionLimitationSettingsStep,DisableAuthenticationStep,PrintInstallationStep,ScanInstallationStep,AuthenticationInstallationStep,RestoreFunctionLimitationSettingsStep,ConfigureDefaultPanelStep,FinalStep] 
2018-11-19 14:24:29.8889 DEBUG                   21|      EventExecutorManager | dleRequestResponse._ | Reply received : {"currentStep":1,"totalSteps":13,"messageId":"install_km_features_ok","parametersOfMessage":[],"finished":false,"severity":"INFO","dateTime":"2018-11-19T14:24:29.6879093+02:00","features":[],"mobileTerminalEndpoint":"https://172.16.1.251:5022/et/v1/1","deviceMacAddress":null} 
2018-11-19 14:24:29.9348 DEBUG                   21|      EventExecutorManager | dleRequestResponse._ | Reply received : {"currentStep":2,"totalSteps":13,"messageId":"xerox_installation_online","parametersOfMessage":[],"finished":false,"severity":"INFO","dateTime":"2018-11-19T14:24:29.9348790+02:00","features":[],"mobileTerminalEndpoint":"https://172.16.1.251:5022/et/v1/1","deviceMacAddress":null} 
2018-11-19 14:24:29.9348 INFO                    21|  IsOnlineInstallationStep |               DoStep | [172.16.1.139][1] Terminal is online. 
2018-11-19 14:24:29.9651 DEBUG                   21| ckRequiredHostedSitesStep |               DoStep | [172.16.1.139][1] All required sites are running, testing access. 
2018-11-19 14:24:29.9651 DEBUG                   21| ckRequiredHostedSitesStep |               DoStep | [172.16.1.139][1] All required sites are running correctly. 
2018-11-19 14:24:29.9651 DEBUG                   21|      EventExecutorManager | dleRequestResponse._ | Reply received : {"currentStep":3,"totalSteps":13,"messageId":"installation_sites_ok","parametersOfMessage":[],"finished":false,"severity":"INFO","dateTime":"2018-11-19T14:24:29.9719556+02:00","features":[],"mobileTerminalEndpoint":"https://172.16.1.251:5022/et/v1/1","deviceMacAddress":null} 
2018-11-19 14:24:29.9651 DEBUG                   21|      EventExecutorManager | dleRequestResponse._ | Reply received : {"currentStep":4,"totalSteps":13,"messageId":"install_km_device_configure","parametersOfMessage":[],"finished":false,"severity":"INFO","dateTime":"2018-11-19T14:24:29.9758592+02:00","features":[],"mobileTerminalEndpoint":"https://172.16.1.251:5022/et/v1/1","deviceMacAddress":null} 
2018-11-19 14:24:29.9651 DEBUG                   21|    MfpConfigurationSource |  GetMfpConfiguration | [172.16.1.139][1] Getting device description... 
2018-11-19 14:24:31.5032 DEBUG                   21|    MfpConfigurationSource |  GetMfpConfiguration | [172.16.1.139][1] Device description got. 
2018-11-19 14:24:31.5198 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Address [172.16.1.139] 
2018-11-19 14:24:31.5198 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Request timeout [00:00:25] 
2018-11-19 14:24:31.5198 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] MAC address [00:20:6B:3A:B9:0C] 
2018-11-19 14:24:31.5198 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Model [KONICA MINOLTA bizhub 227] 
2018-11-19 14:24:31.5198 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Display model [ bizhub 227] 
